Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year
NCLH,2019,9.151,12.6965,89.856,37.3001,104432,7665 Corporate Center Drive,33126,Miami,0,0,0,1,0,0,0,4400,NORWEGIAN CRUISE LINE HLDGS,1513761,BMU,730.145,16684.599,252.876,95.427,0.0,3584.39,10169.02,13371.941,0.0,10.6,75.109,6515.579,3663.261,0.0,0.0,1208.169,4.33,930.228,930.228,6462.376,289.091,213.082,7048.062,58.41,64.51,15205.97,45.65,90.2,5963,3377.08,217.65
SIG,2019,27.877,20.7678,87.477,45.428,15520,"Clarendon House, 2 Church Street",HM11,Hamilton,0,0,0,0,0,1,0,5944,SIGNET JEWELERS LTD,832988,BMU,3154.8,6299.1,374.5,2331.7,3.5,1652.6,4459.5,2425.2,617.0,0.0,45.1,1839.6,3726.2,32.9,110.3,314.7,1.4,105.5,72.6,6137.1,35.6,52.3,2299.9,24.31,45.1,4420.1,102,2386.9,1816.9,3840.5,51.9
SIG,2020,27.877,20.7678,87.477,45.428,15520,"Clarendon House, 2 Church Street",HM11,Hamilton,0,0,0,0,0,1,0,5944,SIGNET JEWELERS LTD,832988,BMU,3582.0,6178.9,1172.5,2032.5,3.9,1998.7,4346.3,1967.7,642.3,25.5,140.4,1832.6,3317.0,33.5,33.5,146.5,-0.94,-15.2,-48.7,5226.9,32.0,52.3,1671.3,40.62,114.9,6299.1,45.1,2331.7,1839.6,3726.2,52.3
NCLH,2020,7.188,12.6965,89.856,36.6462,104432,7665 Corporate Center Drive,33126,Miami,0,0,0,1,0,0,0,4400,NORWEGIAN CRUISE LINE HLDGS,1513761,BMU,3557.544,18399.317,3300.482,82.381,0.0,1913.903,14045.212,13620.263,0.0,35.4,20.578,4354.105,1693.061,0.0,0.0,-1876.338,-15.75,-4012.514,-4012.514,1279.908,453.636,315.636,12009.233,25.43,-14.82,16684.6,64.51,95.43,6515.58,3663.26,213.08
BG,2020,37.36,22.2793,87.477,49.0896,144435,1391 Timberlake Manor Parkway,63017,Saint Louis,0,0,1,0,0,0,0,2040,BUNGE LTD,1144519,BMU,16181.0,23655.0,352.0,7172,1192.0,10985.0,17035.0,4643.0,690.0,93.0,2306.0,6069.0,38186.0,34.0,310.0,1429.0,7.97,1145.0,1121.0,41355.0,266.0,139.79,5276,65.58,2213.0,18317,2323,5038,5913,40044,141.81
BG,2019,37.058,22.2793,87.477,48.989,144435,1391 Timberlake Manor Parkway,63017,Saint Louis,0,0,1,0,0,0,0,2040,BUNGE LTD,1144519,BMU,10248.0,18317.0,320.0,5038,678.0,6595.0,11890.0,4928.0,690.0,0.0,2323.0,5913.0,40044.0,34.0,317.0,-723.0,-9.34,-1280.0,-1322.0,41140.0,340.0,141.813,4978,57.55,2323.0,19425,2367,5871,6173,42836,141.11
AOSL,2019,0.0,16.445,84.407,33.6787,184604,475 Oakmead Parkway,94085,Sunnyvale,0,0,1,0,0,0,0,3674,ALPHA AND OMEGA SEMICONDUCTO,1387467,BMU,295.298,739.394,121.893,111.643,0.364,177.964,296.105,409.737,0.0,0.03,55.444,291.024,303.504,0.0,0.0,-7.02,0.08,1.861,1.861,450.92,6.905,24.517,114.116,9.34,55.41,667.05,52,90.18,278.59,280.21,23.86
NBR,2020,39.988,25.1814,93.739,53.0228,1661,"Crown House, Second Floor, 4 Par-la-Ville Road",HM 08,Hamilton,1,0,0,0,0,0,0,1381,NABORS INDUSTRIES LTD,1163739,BMU,1131.465,5503.428,472.246,160.585,9.5,515.469,3803.78,4018.019,0.005,69.807,362.977,1151.384,1333.072,14.611,18.243,-294.056,-118.69,-805.641,-837.819,2134.043,206.974,7.293,3001.662,58.23,293.17,6760.66,391.26,176.34,1982.81,1929.33,363.4
HELE,2020,0.0,12.0617,84.979,32.4112,5572,1 Helen of Troy Plaza,79912,El Paso,0,0,1,0,0,0,0,3634,HELEN OF TROY LTD,916789,BMU,971.937,2263.488,45.12,481.611,0.0,614.892,1024.141,169.068,0.0,0.998,389.169,1239.347,1164.697,0.0,0.0,290.29,10.16,253.946,253.946,2098.799,12.617,24.406,387.954,216.8,388.17,1903.88,346.56,256.31,1161.72,968.67,25.19
NBR,2019,4.47,24.1536,93.046,40.6197,1661,"Crown House, Second Floor, 4 Par-la-Ville Road",HM 08,Hamilton,1,0,0,0,0,0,0,1381,NABORS INDUSTRIES LTD,1163739,BMU,1248.666,6760.658,435.99,176.341,16.506,656.548,4285.101,4977.196,0.006,61.782,453.042,1982.811,1929.331,17.244,32.197,-76.355,-2.11,-702.885,-741.122,3043.383,205.811,363.398,3380.095,2.88,391.26,7853.94,715.11,165.59,2700.85,1976.97,356.85
HELE,2019,0.0,12.0617,84.979,32.4112,5572,1 Helen of Troy Plaza,79912,El Paso,0,0,1,0,0,0,0,3634,HELEN OF TROY LTD,916789,BMU,682.836,1903.883,24.467,256.311,0.0,338.896,742.16,164.752,0.0,1.461,348.023,1161.723,968.666,0.0,0.0,225.11,6.06,152.333,152.333,1707.432,12.705,25.194,383.807,164.6,346.56,1649.54,278.25,302.34,996.64,918.95,24.95
AXTA,2019,44.911,33.4039,87.477,55.3063,22134,"50 Applied Bank Blvd, Suite 300",19342,Glen Mills,0,0,1,0,0,0,0,2851,AXALTA COATING SYSTEMS LTD,1616862,BMU,2573.4,6818.0,1017.5,591.6,3.0,1072.9,5408.4,1318.6,0.0,16.0,867.6,1354.2,2762.4,0.0,0.0,568.8,1.06,249.0,249.0,4482.2,164.6,234.9,3913.3,30.4,851.6,6675.7,892.6,613,1205.1,2922.9,235.6
TGH,2019,0.332,12.5756,62.041,25.0277,178552,"Century House, 16 Par-la-Ville Road",HM 08,Hamilton,0,0,0,0,0,0,1,7359,TEXTAINER GROUP HOLDINGS LTD,1413159,BMU,421.333,5202.617,180.552,53.214,0.0,299.845,3916.972,4168.555,0.0,6.299,174.543,1259.379,191.025,0.0,0.0,213.849,0.99,56.724,56.724,707.481,166.681,56.818,3811.465,10.71,168.24,4744.3,156.92,62.73,1206.81,177.92,57.4
